c,Silhouette,ARI
2,0.30198299142334467,0.20915561817245112
3,0.2666302265210684,0.22632985303577613
4,0.25645520947520895,0.24789184324313748
5,0.2765378879980388,0.262214595779639
6,0.21430291595439402,0.21818129227268565
